Property Address	Parcel Number	Inspection Date	Grade	License Status	Expiration Date	Mappable Address
1208 Beech Street	912107259011.00	6/6/2011	Class C	Issued		"1208 Beech Street
Urbana, IL
(-88.2251, 40.1225)"
1310 Ellis Drive	912107208017.00	12/20/2011	Class A	Issued		"1310 Ellis Drive
Urbana, IL
(-88.2269, 40.1242)"
310 Crystal Lake Drive	912108404027.00	11/9/2010	Class B	Issued	10/14/2022	"310 Crystal Lake Drive
Urbana, IL
(-88.2044, 40.1191)"
807 1/2 West Main Street	912108354004.00	5/18/2011	Class A	Issued	10/14/2020	"807 1 2 West Main Street
Urbana, IL
(40.114488, -88.218406)"
1204 1/2 East Michigan Avenue	922116376028.00	5/15/2013	Class B	Issued	10/14/2018	"1204 1 2 East Michigan Avenue
Urbana, IL
(40.101585, -88.193961)"
601 A Glover Avenue	922116177015.00	11/29/2012	Class A	Issued	10/14/2020	"601 A Glover Avenue
Urbana, IL
(40.108517, -88.193331)"
108 L North Busey Avenue	912108360001.00	10/12/2010	Class C	Expired		"108 L North Busey Avenue
Urbana, IL
(40.113198, -88.217734)"
606 1/2 West Elm Street	922117110004.00	6/12/2013	Class C	Issued		"606 1 2 West Elm Street
Urbana, IL
(40.111499, -88.215277)"
1206 1/2 East Michigan Avenue	922116376029.00	5/15/2013	Class B	Issued		"1206 1 2 East Michigan Avenue
Urbana, IL
(40.101555, -88.193696)"
804 1/2 East Main Street	912109353015.00	2/28/2012	Class B	Issued		"804 1 2 East Main Street
Urbana, IL
(40.112998, -88.198791)"
510 East Washington Street	922117286027.00	12/11/2009	Class B	Issued		"510 East Washington Street
Urbana, IL
(-88.2015, 40.1059)"
2108 East Michigan Avenue	912115306026.00	2/23/2018	Class A	Issued	10/14/2023	"2108 East Michigan Avenue
Urbana, IL
(40.102005, -88.18027)"
1303 Berkley Avenue	912108203011.00	8/2/2010	Class B	Expired	10/14/2021	"1303 Berkley Avenue
Urbana, IL
(-88.2065, 40.125)"
908 North Broadway Avenue Unit 301	912108257075.00	2/4/2008	Class B	Expired	10/14/2022	"908 North Broadway Avenue
Urbana, IL
(-88.2076, 40.1211)"
1105 Austin Drive	922116403004.00	8/8/2014	Class C	Expired		"1105 Austin Drive
Urbana, IL
(-88.1878, 40.1033)"
708 South Birch Street	922117184009.00	12/20/2019	Class B	Issued	10/14/2022	"708 South Birch Street
Urbana, IL
(40.106842, -88.21152)"
703 East Harding Drive	932121153021.00	3/29/2017	Class B	Issued	10/14/2022	"703 East Harding Drive
Urbana, IL
(40.09357, -88.19808)"
